Start,Finish,Heart Rate (count/min)
09-Nov-2015 07:03,09-Nov-2015 07:03,76.0
09-Nov-2015 07:12,09-Nov-2015 07:12,81.0
09-Nov-2015 07:26,09-Nov-2015 07:26,49.0
09-Nov-2015 07:36,09-Nov-2015 07:36,85.0
09-Nov-2015 07:51,09-Nov-2015 07:51,74.0
09-Nov-2015 08:09,09-Nov-2015 08:09,81.0
09-Nov-2015 08:18,09-Nov-2015 08:18,78.0
09-Nov-2015 08:29,09-Nov-2015 08:29,74.0
09-Nov-2015 08:39,09-Nov-2015 08:39,76.0
09-Nov-2015 08:48,09-Nov-2015 08:48,74.0
09-Nov-2015 08:58,09-Nov-2015 08:58,81.0
09-Nov-2015 09:07,09-Nov-2015 09:07,64.0
09-Nov-2015 09:19,09-Nov-2015 09:19,88.0
09-Nov-2015 09:28,09-Nov-2015 09:28,98.0
09-Nov-2015 09:28,09-Nov-2015 09:28,102.0
09-Nov-2015 09:28,09-Nov-2015 09:28,103.0
09-Nov-2015 09:28,09-Nov-2015 09:28,103.0
09-Nov-2015 09:28,09-Nov-2015 09:28,103.0
09-Nov-2015 09:28,09-Nov-2015 09:28,103.0
09-Nov-2015 09:28,09-Nov-2015 09:28,103.0
09-Nov-2015 09:28,09-Nov-2015 09:28,102.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,101.0
09-Nov-2015 09:29,09-Nov-2015 09:29,104.0
09-Nov-2015 09:29,09-Nov-2015 09:29,105.0
09-Nov-2015 09:29,09-Nov-2015 09:29,105.0
09-Nov-2015 09:29,09-Nov-2015 09:29,104.0
09-Nov-2015 09:30,09-Nov-2015 09:30,104.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,103.0
09-Nov-2015 09:30,09-Nov-2015 09:30,103.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,102.0
09-Nov-2015 09:30,09-Nov-2015 09:30,101.0
09-Nov-2015 09:30,09-Nov-2015 09:30,101.0
09-Nov-2015 09:31,09-Nov-2015 09:31,101.0
09-Nov-2015 09:31,09-Nov-2015 09:31,102.0
