Start,Finish,Steps (count)
09-Nov-2015 00:00,09-Nov-2015 01:00,105.0
09-Nov-2015 01:00,09-Nov-2015 02:00,0.0
09-Nov-2015 02:00,09-Nov-2015 03:00,0.0
09-Nov-2015 03:00,09-Nov-2015 04:00,0.0
09-Nov-2015 04:00,09-Nov-2015 05:00,0.0
09-Nov-2015 05:00,09-Nov-2015 06:00,0.0
09-Nov-2015 06:00,09-Nov-2015 07:00,28.0
09-Nov-2015 07:00,09-Nov-2015 08:00,2063.0
09-Nov-2015 08:00,09-Nov-2015 09:00,108.0
09-Nov-2015 09:00,09-Nov-2015 10:00,3772.1784110012
09-Nov-2015 10:00,09-Nov-2015 11:00,1727.8215889988
09-Nov-2015 11:00,09-Nov-2015 12:00,16.0
09-Nov-2015 12:00,09-Nov-2015 13:00,320.0
09-Nov-2015 13:00,09-Nov-2015 14:00,117.0
09-Nov-2015 14:00,09-Nov-2015 15:00,3789.0
09-Nov-2015 15:00,09-Nov-2015 16:00,3215.0
09-Nov-2015 16:00,09-Nov-2015 17:00,15.0
09-Nov-2015 17:00,09-Nov-2015 18:00,45.0
09-Nov-2015 18:00,09-Nov-2015 19:00,87.0
09-Nov-2015 19:00,09-Nov-2015 20:00,152.0
09-Nov-2015 20:00,09-Nov-2015 21:00,58.0
09-Nov-2015 21:00,09-Nov-2015 22:00,0.0
09-Nov-2015 22:00,09-Nov-2015 23:00,18.0
09-Nov-2015 23:00,10-Nov-2015 00:00,24.0
10-Nov-2015 00:00,10-Nov-2015 01:00,0.0
10-Nov-2015 01:00,10-Nov-2015 02:00,0.0
10-Nov-2015 02:00,10-Nov-2015 03:00,0.0
10-Nov-2015 03:00,10-Nov-2015 04:00,0.0
10-Nov-2015 04:00,10-Nov-2015 05:00,0.0
10-Nov-2015 05:00,10-Nov-2015 06:00,0.0
10-Nov-2015 06:00,10-Nov-2015 07:00,0.0
10-Nov-2015 07:00,10-Nov-2015 08:00,49.9306218757471
10-Nov-2015 08:00,10-Nov-2015 09:00,542.0
10-Nov-2015 09:00,10-Nov-2015 10:00,31.6014554490282
10-Nov-2015 10:00,10-Nov-2015 11:00,265.398544550972
10-Nov-2015 11:00,10-Nov-2015 12:00,239.0
10-Nov-2015 12:00,10-Nov-2015 13:00,968.0
10-Nov-2015 13:00,10-Nov-2015 14:00,196.0
10-Nov-2015 14:00,10-Nov-2015 15:00,48.0
10-Nov-2015 15:00,10-Nov-2015 16:00,154.0
10-Nov-2015 16:00,10-Nov-2015 17:00,160.0
10-Nov-2015 17:00,10-Nov-2015 18:00,317.0
10-Nov-2015 18:00,10-Nov-2015 19:00,257.0
10-Nov-2015 19:00,10-Nov-2015 20:00,510.0
10-Nov-2015 20:00,10-Nov-2015 21:00,34.0
10-Nov-2015 21:00,10-Nov-2015 22:00,0.0
10-Nov-2015 22:00,10-Nov-2015 23:00,82.0
10-Nov-2015 23:00,11-Nov-2015 00:00,0.0
11-Nov-2015 00:00,11-Nov-2015 01:00,0.0
11-Nov-2015 01:00,11-Nov-2015 02:00,0.0
11-Nov-2015 02:00,11-Nov-2015 03:00,0.0
11-Nov-2015 03:00,11-Nov-2015 04:00,0.0
11-Nov-2015 04:00,11-Nov-2015 05:00,0.0
11-Nov-2015 05:00,11-Nov-2015 06:00,12.0
11-Nov-2015 06:00,11-Nov-2015 07:00,1471.0
11-Nov-2015 07:00,11-Nov-2015 08:00,131.828002107857
11-Nov-2015 08:00,11-Nov-2015 09:00,75.1719978921434
11-Nov-2015 09:00,11-Nov-2015 10:00,937.0
11-Nov-2015 10:00,11-Nov-2015 11:00,203.0
11-Nov-2015 11:00,11-Nov-2015 12:00,691.735558182854
11-Nov-2015 12:00,11-Nov-2015 13:00,334.264441817146
11-Nov-2015 13:00,11-Nov-2015 14:00,652.0
11-Nov-2015 14:00,11-Nov-2015 15:00,607.0
11-Nov-2015 15:00,11-Nov-2015 16:00,391.0
11-Nov-2015 16:00,11-Nov-2015 17:00,198.0
11-Nov-2015 17:00,11-Nov-2015 18:00,1889.24897791212
11-Nov-2015 18:00,11-Nov-2015 19:00,970.751022087879
11-Nov-2015 19:00,11-Nov-2015 20:00,0.0
11-Nov-2015 20:00,11-Nov-2015 21:00,0.0
11-Nov-2015 21:00,11-Nov-2015 22:00,104.0
11-Nov-2015 22:00,11-Nov-2015 23:00,0.0
11-Nov-2015 23:00,12-Nov-2015 00:00,0.0
12-Nov-2015 00:00,12-Nov-2015 01:00,0.0
12-Nov-2015 01:00,12-Nov-2015 02:00,0.0
12-Nov-2015 02:00,12-Nov-2015 03:00,0.0
12-Nov-2015 03:00,12-Nov-2015 04:00,0.0
12-Nov-2015 04:00,12-Nov-2015 05:00,0.0
12-Nov-2015 05:00,12-Nov-2015 06:00,0.0
12-Nov-2015 06:00,12-Nov-2015 07:00,0.0
12-Nov-2015 07:00,12-Nov-2015 08:00,0.0
12-Nov-2015 08:00,12-Nov-2015 09:00,311.0
12-Nov-2015 09:00,12-Nov-2015 10:00,1275.0
12-Nov-2015 10:00,12-Nov-2015 11:00,365.753933897443
12-Nov-2015 11:00,12-Nov-2015 12:00,93.2460661025568
12-Nov-2015 12:00,12-Nov-2015 13:00,0.0
12-Nov-2015 13:00,12-Nov-2015 14:00,170.0
12-Nov-2015 14:00,12-Nov-2015 15:00,126.599570111566
12-Nov-2015 15:00,12-Nov-2015 16:00,1481.40042988843
12-Nov-2015 16:00,12-Nov-2015 17:00,542.0
12-Nov-2015 17:00,12-Nov-2015 18:00,63.0
12-Nov-2015 18:00,12-Nov-2015 19:00,405.0
12-Nov-2015 19:00,12-Nov-2015 20:00,132.0
12-Nov-2015 20:00,12-Nov-2015 21:00,139.0
12-Nov-2015 21:00,12-Nov-2015 22:00,267.0
12-Nov-2015 22:00,12-Nov-2015 23:00,29.0
12-Nov-2015 23:00,13-Nov-2015 00:00,475.054522607027
13-Nov-2015 00:00,13-Nov-2015 01:00,519.945477392974
13-Nov-2015 01:00,13-Nov-2015 02:00,0.0
13-Nov-2015 02:00,13-Nov-2015 03:00,0.0
13-Nov-2015 03:00,13-Nov-2015 04:00,0.0
13-Nov-2015 04:00,13-Nov-2015 05:00,0.0
13-Nov-2015 05:00,13-Nov-2015 06:00,0.0
13-Nov-2015 06:00,13-Nov-2015 07:00,0.0
13-Nov-2015 07:00,13-Nov-2015 08:00,142.0
13-Nov-2015 08:00,13-Nov-2015 09:00,100.0
13-Nov-2015 09:00,13-Nov-2015 10:00,16.0
13-Nov-2015 10:00,13-Nov-2015 11:00,0.0
13-Nov-2015 11:00,13-Nov-2015 12:00,0.0
13-Nov-2015 12:00,13-Nov-2015 13:00,11.0
13-Nov-2015 13:00,13-Nov-2015 14:00,247.0
13-Nov-2015 14:00,13-Nov-2015 15:00,36.0
13-Nov-2015 15:00,13-Nov-2015 16:00,89.0
13-Nov-2015 16:00,13-Nov-2015 17:00,374.0
13-Nov-2015 17:00,13-Nov-2015 18:00,569.0
13-Nov-2015 18:00,13-Nov-2015 19:00,21.0
13-Nov-2015 19:00,13-Nov-2015 20:00,2293.0
13-Nov-2015 20:00,13-Nov-2015 21:00,73.0
13-Nov-2015 21:00,13-Nov-2015 22:00,0.0
13-Nov-2015 22:00,13-Nov-2015 23:00,10.0
13-Nov-2015 23:00,14-Nov-2015 00:00,119.0
14-Nov-2015 00:00,14-Nov-2015 01:00,0.0
14-Nov-2015 01:00,14-Nov-2015 02:00,0.0
14-Nov-2015 02:00,14-Nov-2015 03:00,0.0
14-Nov-2015 03:00,14-Nov-2015 04:00,0.0
14-Nov-2015 04:00,14-Nov-2015 05:00,0.0
14-Nov-2015 05:00,14-Nov-2015 06:00,0.0
14-Nov-2015 06:00,14-Nov-2015 07:00,0.0
14-Nov-2015 07:00,14-Nov-2015 08:00,0.0
14-Nov-2015 08:00,14-Nov-2015 09:00,0.0
14-Nov-2015 09:00,14-Nov-2015 10:00,0.0
14-Nov-2015 10:00,14-Nov-2015 11:00,45.0
14-Nov-2015 11:00,14-Nov-2015 12:00,870.0
14-Nov-2015 12:00,14-Nov-2015 13:00,866.0
14-Nov-2015 13:00,14-Nov-2015 14:00,62.0
14-Nov-2015 14:00,14-Nov-2015 15:00,24.0
14-Nov-2015 15:00,14-Nov-2015 16:00,1932.83049796692
14-Nov-2015 16:00,14-Nov-2015 17:00,1312.16950203308
14-Nov-2015 17:00,14-Nov-2015 18:00,122.0
14-Nov-2015 18:00,14-Nov-2015 19:00,103.0
14-Nov-2015 19:00,14-Nov-2015 20:00,40.0
14-Nov-2015 20:00,14-Nov-2015 21:00,25.0
14-Nov-2015 21:00,14-Nov-2015 22:00,47.0
14-Nov-2015 22:00,14-Nov-2015 23:00,11.0
14-Nov-2015 23:00,15-Nov-2015 00:00,56.0
15-Nov-2015 00:00,15-Nov-2015 01:00,0.0
15-Nov-2015 01:00,15-Nov-2015 02:00,0.0
15-Nov-2015 02:00,15-Nov-2015 03:00,0.0
15-Nov-2015 03:00,15-Nov-2015 04:00,0.0
15-Nov-2015 04:00,15-Nov-2015 05:00,0.0
15-Nov-2015 05:00,15-Nov-2015 06:00,0.0
15-Nov-2015 06:00,15-Nov-2015 07:00,0.0
15-Nov-2015 07:00,15-Nov-2015 08:00,0.0
15-Nov-2015 08:00,15-Nov-2015 09:00,0.0
15-Nov-2015 09:00,15-Nov-2015 10:00,9.0
15-Nov-2015 10:00,15-Nov-2015 11:00,110.0
15-Nov-2015 11:00,15-Nov-2015 12:00,41.0
15-Nov-2015 12:00,15-Nov-2015 13:00,0.0
15-Nov-2015 13:00,15-Nov-2015 14:00,1768.92752118983
15-Nov-2015 14:00,15-Nov-2015 15:00,940.531046915846
15-Nov-2015 15:00,15-Nov-2015 16:00,2854.94010550317
15-Nov-2015 16:00,15-Nov-2015 17:00,819.059894496828
15-Nov-2015 17:00,15-Nov-2015 18:00,62.4711807968586
