time,scrn,mm,scl,steps,aa
1447537695.0,0,11,85,0,63
1447537635.0,0,12,81,0,63
1447537575.0,0,13,77,0,63
1447537515.0,0,16,72,0,63
1447537455.0,0,21,68,0,63
1447537395.0,0,31,63,0,63
1447537335.0,0,53,57,0,63
1447537275.0,0,67,47,0,63
1447537215.0,3,12,27,42,63
1447537155.0,1,12,19,47,63
1447537095.0,4,10,18,0,63
1447537035.0,1,10,18,2,63
1447536975.0,0,15,18,0,63
1447536915.0,7,18,17,67,63
1447536855.0,3,19,17,33,63
1447536795.0,1,25,16,5,63
1447536735.0,1,21,15,0,63
1447536675.0,6,15,15,5,63
1447536615.0,9,26,15,22,63
1447536555.0,9,53,16,22,63
1447536495.0,6,95,18,25,63
1447536435.0,2,54,16,19,63
1447536375.0,4,25,19,19,63
1447536315.0,5,40,18,2,63
1447536255.0,9,29,29,28,63
1447536195.0,9,33,31,11,63
1447536135.0,5,27,30,19,63
1447536075.0,7,15,29,0,63
1447536015.0,1,17,31,0,63
1447535955.0,2,20,30,0,63
1447535895.0,5,28,30,0,63
1447535835.0,4,21,32,2,63
1447535775.0,7,11,29,2,63
1447535715.0,2,3,29,0,63
1447535655.0,3,1,29,0,63
1447535595.0,1,1,29,0,63
1447535535.0,7,1,29,0,63
1447535475.0,6,1,29,0,63
1447535415.0,0,2,29,0,63
1447535355.0,2,1,29,0,63
1447535295.0,6,1,29,0,63
1447535235.0,1,1,29,0,63
1447535175.0,6,1,30,0,63
1447535115.0,3,1,30,0,63
1447535055.0,4,1,30,0,63
1447534995.0,5,2,30,0,63
1447534935.0,8,3,30,0,63
1447534875.0,9,7,30,0,63
1447534815.0,1,8,31,0,63
1447534755.0,0,6,32,0,63
1447534695.0,1,7,32,0,63
1447534635.0,4,3,31,0,63
1447534575.0,5,2,30,0,63
1447534515.0,4,2,30,0,63
1447534455.0,4,2,30,0,63
1447534395.0,12,5,31,0,63
1447534335.0,1,11,31,0,63
1447534275.0,2,10,32,0,63
1447534215.0,2,12,33,0,63
1447534155.0,7,19,33,0,63
1447534095.0,8,28,33,5,63
1447534035.0,9,23,33,5,63
1447533975.0,1,16,36,0,63
1447533915.0,4,22,33,5,63
1447533855.0,4,30,33,2,63
1447533795.0,2,18,31,2,63
1447533735.0,5,16,30,0,63
1447533675.0,8,14,28,0,63
1447533615.0,3,11,30,0,63
1447533555.0,1,11,31,0,63
1447533495.0,4,11,30,0,63
1447533435.0,0,12,30,0,63
1447533375.0,3,10,29,0,63
1447533315.0,7,7,27,0,63
1447533255.0,7,4,28,0,63
1447533195.0,11,7,28,0,63
1447533135.0,5,6,30,0,63
1447533075.0,6,4,30,0,63
1447533015.0,10,10,30,0,63
1447532955.0,5,16,31,0,63
1447532895.0,3,22,32,14,63
1447532835.0,0,17,33,0,63
1447532775.0,0,27,31,0,63
1447532715.0,0,29,28,0,63
1447532655.0,7,35,26,0,63
1447532595.0,11,21,23,39,63
1447532535.0,5,6,24,8,63
1447532475.0,10,2,26,0,63
1447532415.0,9,4,26,0,63
1447532355.0,0,5,27,0,63
1447532295.0,0,7,27,0,63
1447532235.0,0,12,26,0,63
1447532175.0,5,13,25,0,63
1447532115.0,3,14,26,0,63
1447532055.0,2,15,24,0,63
1447531995.0,4,8,25,0,63
1447531935.0,3,6,24,0,63
1447531875.0,4,6,24,0,63
1447531815.0,9,11,25,0,63
1447531755.0,0,14,25,0,63
1447531695.0,4,17,24,0,63
1447531635.0,1,16,23,0,63
1447531575.0,5,12,22,0,63
1447531515.0,2,13,22,0,63
1447531455.0,2,11,21,2,63
1447531395.0,5,9,20,0,63
1447531335.0,6,7,21,0,63
1447531275.0,4,9,21,2,63
1447531215.0,1,17,22,0,63
1447531155.0,3,27,21,0,63
1447531095.0,7,17,20,2,63
1447531035.0,3,9,18,0,63
1447530975.0,4,9,19,0,63
1447530915.0,5,7,19,0,63
1447530855.0,0,6,19,0,63
